Category:,Brief Description:,Extended Description:,,,,Data: ,Data: ,Data: ,In Reference Data Location:,Reference Name:,Reference URL:
Category,Name,Description,CVD,Temp,Pres,H2,CO2,N2,,,
,,,hours,(°C),(bar),(mol/(sqm.s.Pa)),(mol/(sqm.s.Pa)),(mol/(sqm.s.Pa)),,,
CVD,CVD Si,(T=250°C),,250,,8.17E-08,,3.07E-11,fresh (figure 1),Akamatsu  2009,
CVD,CVD Si,(T=600°C),,600,,2.77E-07,,1.08E-10,fresh (figure 1),Akamatsu  2009,
CVD,CVD Si,(T=300°C),,300,,1.06E-08,,1.62E-11,fresh (figure 3),Akamatsu  2009,
CVD,CVD Si,(T=600°C),,600,,6.66E-08,,8.81E-12,fresh (figure 3),Akamatsu  2009,
CVD,CVD Si,(T=800°C),,800,,1.56E-07,,3.46E-11,fresh (figure 3),Akamatsu  2009,
CVD,CVD Si," on a-y-Al (T=500°C, P=1bar)",,500,1,1.00E-07,1.30E-10,,(figure 9),Araki 2007,
CVD,CVD Si," on a-y-Al (T=300°C, P=1bar)",,300,1,5.00E-08,4.00E-11,,(figure 9),Araki 2007,
CVD,CVD Si," on a-y-Al (T=200°C, P=1bar)",,200,1,3.00E-08,2.05E-11,,(figure 9),Araki 2007,
CVD,CVD Si," on a-y-Al (T=20°C, P=1bar)",,20,1,2.50E-09,3.00E-12,,(figure 9),Araki 2007,
sol-gel,sol-gel Si," by wet cloth on a-a-Al (T=300°C, P=1.75bar)",,300,1.75,1.60E-06,2.74E-07,4.40E-08,SOSZ5 (figure 8),Asaeda 2001,
sol-gel,sol-gel Si," by wet cloth on a-a-Al (T=250°C, P=1.75bar)",,250,1.75,1.39E-06,3.03E-07,3.78E-08,SOSZ5 (figure 8),Asaeda 2001,
sol-gel,sol-gel Si," by wet cloth on a-a-Al (T=200°C, P=1.75bar)",,200,1.75,1.32E-06,4.05E-07,3.78E-08,SOSZ5 (figure 8),Asaeda 2001,
sol-gel,sol-gel Si," by wet cloth on a-a-Al (T=150°C, P=1.75bar)",,150,1.75,1.21E-06,5.26E-07,3.44E-08,SOSZ5 (figure 8),Asaeda 2001,
sol-gel,sol-gel Si," by wet cloth on a-a-Al (T=100°C, P=1.75bar)",,100,1.75,1.13E-06,7.04E-07,3.30E-08,SOSZ5 (figure 8),Asaeda 2001,
sol-gel,sol-gel Si," by wet cloth on a-a-Al (T=75°C, P=1.75bar)",,75,1.75,1.08E-06,7.74E-07,3.16E-08,SOSZ5 (figure 8),Asaeda 2001,
sol-gel,sol-gel Si," by wet cloth on a-a-Al (T=50°C, P=1.75bar)",,50,1.75,1.04E-06,8.08E-07,3.03E-08,SOSZ5 (figure 8),Asaeda 2001,
sol-gel,sol-gel Si," by wet cloth on a-Al-SiZr (T=300°C, P=1.75bar)",,300,1.75,1.33E-06,1.82E-07,,SOS (figure 5),Asaeda 2001,
sol-gel,sol-gel Si," by wet cloth on a-Al-SiZr (T=200°C, P=1.75bar)",,200,1.75,1.35E-06,3.36E-07,,SOS (figure 5),Asaeda 2001,
sol-gel,sol-gel Si," by wet cloth on a-Al-SiZr (T=150°C, P=1.75bar)",,150,1.75,1.35E-06,4.01E-07,,SOS (figure 5),Asaeda 2001,
sol-gel,sol-gel Si," by wet cloth on a-Al-SiZr (T=100°C, P=1.75bar)",,100,1.75,1.33E-06,4.87E-07,,SOS (figure 5),Asaeda 2001,
sol-gel,sol-gel Si," by wet cloth on a-Al-SiZr (T=75°C, P=1.75bar)",,75,1.75,1.35E-06,6.78E-07,,SOS (figure 5),Asaeda 2001,
sol-gel,sol-gel Si," by wet cloth on a-Al-SiZr (T=50°C, P=1.75bar)",,50,1.75,1.28E-06,7.95E-07,,SOS (figure 5),Asaeda 2001,
sol-gel,sol-gel Si," by dip coating on a-y-Al (T=150°C, P=1bar)",,150,1,1.74E-08,1.33E-10,8.00E-11,M3 (figure 5b),Battersby 2006,
sol-gel,sol-gel Si," by dip coating on a-y-Al (T=200°C, P=2bar)",,200,2,1.06E-08,6.50E-10,6.85E-10,(figure 6),Battersby 2007,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on a-y-Al (T=200°C, P=2bar)",,200,2,3.30E-08,1.20E-10,1.26E-10,(figure 2a),Battersby 2008,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on a-y-Al (T=150°C, P=2bar)",,150,2,1.60E-08,1.00E-10,1.20E-10,(figure 2a),Battersby 2008,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on a-y-Al (T=100°C, P=2bar)",,100,2,8.62E-09,8.87E-11,1.57E-10,(figure 2a),Battersby 2008,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on a-y-Al (T=100°C, P=1bar)",,100,1,5.20E-10,1.50E-10,1.50E-10,(figure 3),Battersby 2009,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on a-y-Al (T=150°C, P=1bar)",,150,1,1.57E-09,1.16E-11,1.16E-11,(figure 3),Battersby 2009,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on a-y-Al (T=200°C, P=1bar)",,200,1,3.96E-09,6.50E-12,6.50E-12,(figure 3),Battersby 2009,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on a-y-Al (T=250°C, P=1bar)",,250,1,5.80E-09,5.37E-12,5.37E-12,(figure 3),Battersby 2009,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on a-y-Al (T=100°C, P=4bar)",,100,4,3.63E-09,8.62E-11,5.72E-11,(figure 6),Battersby 2009 b,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on a-y-Al (T=150°C, P=4bar)",,150,4,5.50E-09,6.10E-11,5.72E-11,(figure 6),Battersby 2009 b,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on a-y-Al (T=200°C, P=4bar)",,200,4,6.82E-09,6.32E-11,5.72E-11,(figure 6),Battersby 2009 b,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on a-y-Al (T=250°C, P=4bar)",,250,4,9.80E-09,6.13E-11,5.72E-11,(figure 6),Battersby 2009 b,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on a-y-Al (T=100°C, P=4bar)",,100,4,5.31E-10,1.46E-10,6.20E-12,(figure 4b),Battersby 2010,
