Category:,Brief Description:,Extended Description:,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,Data: ,In Reference Data Location:,Reference Name:,Reference URL:
Polymer Type,,Polymer,He,H2,O2,N2,CO2,CH4,C2H4,C2H6,C3H6,C3H8,C4H8,n-C4H10,CF4,C2F6,C3F8,,,
,,,(Barrer),(Barrer),(Barrer),(Barrer),(Barrer),(Barrer),(Barrer),(Barrer),(Barrer),(Barrer),(Barrer),(Barrer),(Barrer),(Barrer),(Barrer),,,
2008 Robeson Limit,Test,2008 Upperbound,,,,,1.00E+05,2.21E+04,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,,,,,1.00E+05,2.21E+04,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,,,,,1.00E-02,4.88E-06,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,,,5.00E+04,2.78E+04,,,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,,,1.00E-03,2.43E-05,,,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,,1.00E+05,,,3.84E+05,,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,,1.00E-03,,,1.29E-06,,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,,1.00E+05,,1.02E+05,,,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,,1.00E-01,,9.21E-06,,,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,,,,3.05E+05,1.00E+06,,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,,,,1.05E-08,1.00E-04,,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,1.00E+05,,,4.89E+05,,,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,1.00E-01,,,6.17E-07,,,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,,5.00E+04,,,,8.67E+04,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,,2.50E+00,,,,5.64E-04,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,1.00E+05,,,,,7.40E+05,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,1.00E-01,,,,,2.84E-08,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,1.00E+05,1.11E+05,,,,,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,1.00E-02,4.04E-04,,,,,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,,,,1.00E+05,,2.25E+05,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,,,,1.00E-03,,3.78E-05,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,1.00E+05,,,,1.57E+06,,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2008 Robeson Limit,,2008 Upperbound,1.00E-02,,,,2.10E-07,,,,,,,,,,,,Robeson 2008,http://dx.doi.org/10.1016/j.memsci.2008.04.030
2015 Limit,,2015 Upperbound,,,1.00E+05,4.07E+04,,,,,,,,,,,,,Swaidan 2015,http://dx.doi.org/10.1021/acsmacrolett.5b00512
2015 Limit,,2015 Upperbound,,,1.00E-05,7.17E-08,,,,,,,,,,,,,Swaidan 2015,http://dx.doi.org/10.1021/acsmacrolett.5b00512
2015 Limit,,2015 Upperbound,,1.00E+05,,1.94E+04,,,,,,,,,,,,,Swaidan 2015,http://dx.doi.org/10.1021/acsmacrolett.5b00512
2015 Limit,,2015 Upperbound,,1.00E-01,,1.50E-06,,,,,,,,,,,,,Swaidan 2015,http://dx.doi.org/10.1021/acsmacrolett.5b00512
2015 Limit,,2015 Upperbound,,5.00E+04,,,,1.45E+04,,,,,,,,,,,Swaidan 2015,http://dx.doi.org/10.1021/acsmacrolett.5b00512
2015 Limit,,2015 Upperbound,,2.50E+00,,,,8.92E-05,,,,,,,,,,,Swaidan 2015,http://dx.doi.org/10.1021/acsmacrolett.5b00512
Carbon Molecular Sieves,CMS,Poly(imide) based carbon molecular sieves,,,,,,,15.1,1.28,,,,,,,,,Koros 2012,http://www.google.com/patents/WO2012148563A1?cl=en
Carbon Molecular Sieves,Carbonized BPDA-pp'ODA,"Carbonized polyimide of 3,3',4,4'-biphenyltetracarboxylic dianhydride and 4,4'-oxydianiline",,,,,,,,0.4,20,,,,,,,,Hayashi 1996,http://dx.doi.org/10.1021/ie960264n
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,4.03,0.289,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,5.21,0.481,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,6.46,0.5379,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,8.71,0.804,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,6.46,0.738,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,6.94,0.405,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,9.919,0.499,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,12.66,0.279,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,14.61,0.2699,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,24.4,0.6435,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,27.758,0.6919,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,48.412,1.469,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,50.515,1.764,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,94.739,2.172,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,60.91,1.0156,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,24.82,0.1902,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,167.877,2.1354,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,55.36,0.104,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,1596.96,64.33,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,1069.45,82.164,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,2003.26,182.23,,,,,,,Kwon 2013,http://dx.doi.org/10.1021/ja403849c
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,17.077,0.553,,,,,,,Chng 2009,http://dx.doi.org/10.1016/j.carbon.2009.03.032
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,6.654,0.275,,,,,,,Chng 2009,http://dx.doi.org/10.1016/j.carbon.2009.03.032
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,16.144,0.3367,,,,,,,Chng 2009,http://dx.doi.org/10.1016/j.carbon.2009.03.032
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,4.4,0.28,,,,,,,Chng 2009,http://dx.doi.org/10.1016/j.carbon.2009.03.032
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,48,1.1,,,,,,,Chng 2009,http://dx.doi.org/10.1016/j.carbon.2009.03.032
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,46,0.85,,,,,,,Chng 2009,http://dx.doi.org/10.1016/j.carbon.2009.03.032
Carbon Molecular Sieves,CMS,Carbonized polymer at 300C,62,,4.2,0.94,11.8,,,,0.36,0.1,,,,,,,Okamoto 1999,http://dx.doi.org/10.1021/ie990209p
Carbon Molecular Sieves,CMS,Carbonized polymer at 400C,42,,3.8,0.86,11.2,,,,0.36,0.118,,,,,,,Okamoto 1999,http://dx.doi.org/10.1021/ie990209p
Carbon Molecular Sieves,CMS,Carbonized polymer at 560C,158,,28,7.4,74,,,,3.6,0.26,,,,,,,Okamoto 1999,http://dx.doi.org/10.1021/ie990209p
Carbon Molecular Sieves,CMS,Carbonized polymer at 580C,220,,44,12,98,,,,6,0.44,,,,,,,Okamoto 1999,http://dx.doi.org/10.1021/ie990209p
Carbon Molecular Sieves,CMS,Carbonized polymer at 600C,220,,56,17.4,118,,22,7.097,10.2,0.85,,,,,,,Okamoto 1999,http://dx.doi.org/10.1021/ie990209p
Carbon Molecular Sieves,CMS,Carbonized polymer at 625C,240,,64,19.4,136,,,,9.4,0.7,,,,,,,Okamoto 1999,http://dx.doi.org/10.1021/ie990209p
Carbon Molecular Sieves,CMS,Carbonized polymer at 650C,220,,34,8.4,84,,,,2.8,0.3,,,,,,,Okamoto 1999,http://dx.doi.org/10.1021/ie990209p
Carbon Molecular Sieves,CMS,Carbonized polymer at 700C,36,,0.48,0.13,1.36,,,,0.04,0.036,,,,,,,Okamoto 1999,http://dx.doi.org/10.1021/ie990209p
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,49.6,1.71,,,,,,,Hayashi 1996,http://dx.doi.org/10.1021/ie960264n
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,27.2,0.68,,,,,,,Hayashi 1996,http://dx.doi.org/10.1021/ie960264n
Carbon Molecular Sieves,CMS,Carbonized polymer,,,,,,,,,139.2,2.578,,,,,,,Hayashi 1996,http://dx.doi.org/10.1021/ie960264n
Cellulosic Polymers,,Ethyl cellulose,,54.4,11.9,3.18,67.7,6.1,,,,,,,,,,,Li 2001,http://www.sciencedirect.com/science/article/pii/S0032386101001215
Cellulosic Polymers,,Ethyl cellulose,53,76,18,5,110,12,,,,,,,,,,,Khan 2006,http://dx.doi.org/10.1021/ma060601w
Cellulosic Polymers,,Cellulose acetate,,,0.8,,2.4,,,,,,,,,,,,Allen 1977,http://www.sciencedirect.com/science/article/pii/S037673880083241X
Cellulosic Polymers,,Cellulose acetate,,14.9,1.05,0.231,5.96,0.205,,,,,,,,,,,Li 1995,http://dx.doi.org/10.1002/app.1995.070580906
Cellulosic Polymers,,Cellulose acetate (DS = 1.75),9.34,6.05,0.32,0.057,1.84,0.052,,,,,,,,,,,Puleo 1989,http://www.sciencedirect.com/science/article/pii/S0376738800830835
Cellulosic Polymers,,Cellulose acetate (DS = 2.45),16,12,0.82,0.15,4.75,0.15,,,,,,,,,,,Puleo 1989,http://www.sciencedirect.com/science/article/pii/S0376738800830835
Cellulosic Polymers,,Cellulose acetate (DS = 2.84),19.6,15.5,1.46,0.23,6.56,0.2,,,,,,,,,,,Puleo 1989,http://www.sciencedirect.com/science/article/pii/S0376738800830835
Cellulosic Polymers,,Cellulose nitrate,,2,0.6,0.12,,,,,,,,,,,,,Bixler 1971,http://books.google.com.au/books?id=Hc6ioeRc7p8C&lpg=PA305&ots=p1TsIRrlt7&dq=Bixler%20Sweeting%20polymer%20films&pg=PA305
Cellulosic Polymers,,Ethyl Cellulose 1 (49 wt% ethoxy),47,68,15,4.3,91,9.2,,,,,,,,,,,Khan 2008,http://www.sciencedirect.com/science/article/pii/S0376738808000227
Cellulosic Polymers,EC-1 + 0.31 DS carbamate,,57,75,17,4.7,100,10.5,,,,,,,,,,,Khan 2008,http://www.sciencedirect.com/science/article/pii/S0376738808000227
Cellulosic Polymers,,Ethyl Cellulose 2 (45.6 wt% ethoxy),41,59,13,3.5,80,7.5,,,,,,,,,,,Khan 2008,http://www.sciencedirect.com/science/article/pii/S0376738808000227
Cellulosic Polymers,EC-2 + 0.5 DS carbamate,,51,71,15,3.9,89,8.4,,,,,,,,,,,Khan 2008,http://www.sciencedirect.com/science/article/pii/S0376738808000227
Cellulosic Polymers,,Cellulose acetate 3 (36.7 wt% acetyl),15,12,0.67,0.14,4.6,0.15,,,,,,,,,,,Khan 2008,http://www.sciencedirect.com/science/article/pii/S0376738808000227
Cellulosic Polymers,CA-3 + 0.54 DS carbamate,,27,26,3.1,0.66,19,0.83,,,,,,,,,,,Khan 2008,http://www.sciencedirect.com/science/article/pii/S0376738808000227
Cellulosic Polymers,,Cellulose acetate 4 (26.9 wt% acetyl),8.4,5.7,0.28,0.044,1.7,0.045,,,,,,,,,,,Khan 2008,http://www.sciencedirect.com/science/article/pii/S0376738808000227
Cellulosic Polymers,CA-4 + 1.20 DS carbamate,,34,36,5.5,1.3,38,1.97,,,,,,,,,,,Khan 2008,http://www.sciencedirect.com/science/article/pii/S0376738808000227
Cellulosic Polymers,CA,Cellulose Acetate,,,,,,,,,12.1,3.2,,,,,,,Ito 1989,http://dx.doi.org/10.1002/app.1989.070380308
Cellulosic Polymers,EC,Ethyl Cellulose,,,,,,,,,7,2,,,,,,,Bai 2000,http://dx.doi.org/10.1016/S0376-7388(00)00376-8
Cellulosic Polymers,EC+Ag,Ethyl Cellulose doped with 1wt.% Ag,,,,,,,,,5.7,3.3,,,,,,,Bai 2000,http://dx.doi.org/10.1016/S0376-7388(00)00376-8
Cellulosic Polymers,EC+Ag,Ethyl Cellulose doped with 5wt.% Ag,,,,,,,,,8.2,2.1,,,,,,,Bai 2000,http://dx.doi.org/10.1016/S0376-7388(00)00376-8
Cellulosic Polymers,,Ethyl Cellulose doped with 1wt.% Pd,,,,,,,,,4.7,1.7,,,,,,,Bai 2000,http://dx.doi.org/10.1016/S0376-7388(00)00376-8
Cellulosic Polymers,EC+Ru,Ethyl Cellulose doped with 1wt.% Ru,,,,,,,,,5.9,1.8,,,,,,,Bai 2000,http://dx.doi.org/10.1016/S0376-7388(00)00376-8
Cellulosic Polymers,EC+Ir,Ethyl Cellulose doped with 1.25wt.% Ir,,,,,,,,,6.3,1.7,,,,,,,Bai 2000,http://dx.doi.org/10.1016/S0376-7388(00)00376-8
Cellulosic Polymers,EC,Ethyl cellulose,,,,,,,,,52,16,,,,,,,Semenova 2004,http://dx.doi.org/10.1016/j.memsci.2003.11.022
Cellulosic Polymers,CA,Cellulose Acetate,,,,,,,,,15.2,5.8,,,,,,,Semenova 2004,http://dx.doi.org/10.1016/j.memsci.2003.11.022
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline (as cast),2.78,2.51,0.12,0.017,0.67,0.005,,,,,,,,,,,Chang 1996,http://dx.doi.org/10.1002/(SICI)1097-4628(19961128)62:9%3C1427::AID-APP12%3E3.0.CO;2-W
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline (HCl doped),0.319,0.121,0.016,,0.034,,,,,,,,,,,,Chang 1996,http://dx.doi.org/10.1002/(SICI)1097-4628(19961128)62:9%3C1427::AID-APP12%3E3.0.CO;2-W
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline (undoped),3.66,3.14,0.135,0.01,0.771,,,,,,,,,,,,Chang 1996,http://dx.doi.org/10.1002/(SICI)1097-4628(19961128)62:9%3C1427::AID-APP12%3E3.0.CO;2-W
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline (as cast),,1.477,0.088,0.009,0.291,,,,,,,,,,,,Illing 2005,http://www.sciencedirect.com/science/article/pii/S0376738805000402
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline (redoped),,1.753,0.052,0.0059,0.076,,,,,,,,,,,,Illing 2005,http://www.sciencedirect.com/science/article/pii/S0376738805000402
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline (annealed),,3.707,0.121,0.019,0.476,0.013,,,,,,,,,,,Rebattet 1995,http://dx.doi.org/10.1002/app.1995.070571307
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline (doped),,0.29,0.01,0.004,0.035,0.003,,,,,,,,,,,Rebattet 1995,http://dx.doi.org/10.1002/app.1995.070571307
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline (undoped),,4.53,0.15,0.016,0.568,0.011,,,,,,,,,,,Rebattet 1995,http://dx.doi.org/10.1002/app.1995.070571307
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline (redoped),,4.35,0.142,0.01,0.547,0.007,,,,,,,,,,,Rebattet 1995,http://dx.doi.org/10.1002/app.1995.070571307
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline (emeraldine base),4.29,4.38,0.151,0.0165,0.72,0.0078,,,,,,,,,,,Wang 1999,http://www.sciencedirect.com/science/article/pii/S0379677998010571
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline-NO3 doped,,,0.129,0.0087,0.401,0.0073,,,,,,,,,,,Kuwabata 1994,http://www.sciencedirect.com/science/article/pii/0376738894000107
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline-CL doped,,,0.142,0.0096,0.462,0.0089,,,,,,,,,,,Kuwabata 1994,http://www.sciencedirect.com/science/article/pii/0376738894000107
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyaniline,4.15,3.66,0.19,0.03,0.91,,,,,,,,,,,,Chang 1996,http://dx.doi.org/10.1002/(SICI)1097-4628(19961128)62:9%3C1427::AID-APP12%3E3.0.CO;2-W
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polymethoxyaniline,6.19,6.04,0.202,0.047,1.06,,,,,,,,,,,,Chang 1996,http://dx.doi.org/10.1002/(SICI)1097-4628(19961128)62:9%3C1427::AID-APP12%3E3.0.CO;2-W
Conjugated Polymers (excl. subst. acetylenes/propynes),,Polyethoxyaniline,9.73,8.1,0.62,0.107,2.22,,,,,,,,,,,,Chang 1996,http://dx.doi.org/10.1002/(SICI)1097-4628(19961128)62:9%3C1427::AID-APP12%3E3.0.CO;2-W
Conjugated Polymers (excl. subst. acetylenes/propynes),,Poly(N-methylpyrrole),,,2.04,0.33,6.9,0.22,,,,,,,,,,,Liang 1991,http://dx.doi.org/10.1021/cm00015a007
Conjugated Polymers (excl. subst. acetylenes/propynes),,Poly(N-methyl pyrrole) NO3 doped,,,1.26,0.16,2.82,0.17,,,,,,,,,,,Liang 1991,http://dx.doi.org/10.1021/cm00015a007
